Galaxy,Final Model,Sum comp Mass,Mass Bar,Mass Disk,Mass Bulge,Mass Nucleus,Bar-to-total Mass,Disk-to-total Mass,Bulge-to-total Mass,Nucleus-to-total Mass
NGC3061,DBARB,10.408155561883415,8.771492842776146,10.387783197703568,8.764955197703566,,0.0230853934582682,0.9541741261019264,0.0227404804398052,
NGC3066,DBARN,10.120175429276289,8.976918391809141,10.04615002041322,,9.048634020413225,0.0719023297647507,0.8432854190057968,,0.0848122512294526
NGC3153,DBAR,10.09031739253889,8.930119319812583,10.059196371851025,,,0.0691515513071577,0.9308484486928422,,
NGC3155,DBARN,10.150787411979197,9.098330726216028,10.094364237990549,,8.67207223799055,0.0886223606511754,0.8781664196166743,,0.0332112197321502
NGC3166,DBARB,10.883542276364093,10.269291828643732,10.546243361644413,10.35626936164441,,0.2430801816851484,0.4599398987544995,0.2969799195603521,
NGC3206,DBAR,9.593353189840752,8.47180694243985,9.559218690913832,,,0.075588156330176,0.924411843669824,,
NGC3254,DBARB,10.552058748663493,9.465033602341224,10.42541574339166,9.78529774339166,,0.0818417399129521,0.7470625995633059,0.1710956605237418,
NGC3319,DBAR,9.963214277962011,9.298583106165085,9.85727788842781,,,0.2164556010572074,0.7835443989427925,,
NGC3346,DBAR,10.179848287423823,8.150712301883784,10.175768036668323,,,0.0093511282738446,0.9906488717261552,,
NGC3351,DBARB,10.465701995375436,9.4799198234666,10.331816014481266,9.675124014481266,,0.1033279535468104,0.734706731784325,0.1619653146688646,
NGC3359,DBAR,10.265971823275144,9.16247863047525,10.23032741289485,,,0.0787964782038629,0.9212035217961372,,
NGC3380,DBARBN,9.85489094670675,9.324044774558274,9.59995354669838,8.85868954669838,8.54144354669838,0.2945464737723099,0.5559843920901232,0.1008784962986084,0.0485906378389584
NGC3381,DBAR,9.744347487652524,8.791681733319814,9.692997467697056,,,0.1115152457179742,0.8884847542820258,,
NGC3447,DBAR,9.410003631484466,8.212855489573704,9.381506114840976,,,0.0635114251485084,0.9364885748514916,,
