Name,y$_{3.6\mu m}$_center,x$_{3.6\mu m}$_center,SKY$_{3.6\mu m}$,$\sigma$_SKY$_{3.6\mu m}$,RMS$_{3.6\mu m}$,y$_{4.5\mu m}$_center,x$_{4.5\mu m}$_center,SKY$_{4.5\mu m}$,$\sigma$_SKY$_{4.5\mu m}$,RMS$_{4.5\mu m}$
NGC5701,782.0,312.0,0.0581,0.0167,0.0135,785.0,497.0,0.0775,0.0158,0.013
NGC5713,782.0,292.0,0.0447,0.0073,0.0059,291.0,529.0,0.0384,0.0108,0.0087
NGC5728,797.0,326.0,0.0115,0.0262,0.0209,273.0,479.0,0.0007,0.0317,0.0253
NGC5740,783.0,403.0,0.0615,0.0166,0.0133,792.0,488.0,0.0923,0.0163,0.0131
NGC5757,799.0,268.0,0.0515,0.0127,0.0103,272.0,410.0,0.0867,0.0119,0.0096
NGC5768,788.0,316.0,0.0392,0.0163,0.0131,785.0,462.0,0.0758,0.0157,0.0126
NGC5781,799.0,268.0,0.0637,0.0119,0.0096,274.0,415.0,0.0951,0.0115,0.0094
NGC5806,797.0,279.0,0.0863,0.0149,0.0122,281.0,496.0,0.1829,0.0136,0.0109
NGC5850,316.0,502.0,0.1295,0.0256,0.0222,832.0,333.0,0.3644,0.0248,0.02
NGC5866B,295.0,297.0,-0.0075,0.0156,0.0125,715.0,768.0,-0.0504,0.0141,0.0113
NGC5885,799.0,269.0,0.0544,0.0129,0.0104,274.0,437.0,0.1223,0.0121,0.0098
NGC5892,798.0,265.0,0.0993,0.0131,0.0106,269.0,415.0,0.0707,0.0125,0.0102
NGC5921,782.0,291.0,0.017,0.0121,0.0098,299.0,552.0,0.0311,0.0116,0.0094
NGC5950,797.0,295.0,-0.002,0.0164,0.0137,295.0,633.0,0.0286,0.013,0.0104
NGC5956,773.0,403.0,0.0343,0.0162,0.013,792.0,528.0,0.1087,0.0159,0.0128
NGC5964,344.0,464.0,0.1035,0.0105,0.0085,863.0,305.0,0.3178,0.0175,0.014
NGC5970,774.0,285.0,0.0084,0.0164,0.0133,760.0,533.0,0.0136,0.0152,0.0122
NGC6012,798.0,288.0,0.0417,0.0142,0.0113,290.0,562.0,0.005,0.0132,0.0105
NGC6014,795.0,283.0,0.0487,0.0143,0.0113,286.0,524.0,0.0129,0.0135,0.0109
NGC6140,650.0,779.0,-0.0003,0.016,0.0128,293.0,709.0,0.0205,0.0145,0.0118
NGC6155,729.0,297.0,-0.025,0.0136,0.0109,307.0,704.0,-0.0196,0.0121,0.0097
NGC6217,783.0,680.0,-0.0178,0.0154,0.0123,297.0,307.0,0.0103,0.0135,0.0108
NGC6236,784.0,292.0,-0.0087,0.016,0.0129,289.0,733.0,0.0178,0.0139,0.0112
