Galaxy,Model,Total Model Mass,Bar Mass,Disk Mass,Bulge Mass,Nucleus Mass,Bar-to-total,Disk-to-total,Bulge-to-total,Nucleus-to-total
NGC3686,DBARB,10.191018843344562,8.588326108630408,10.168354115375632,8.60407505420484,,0.024963602883527225,0.9491509178166867,0.025885479299786036,
NGC3691,DBAR,9.694866919457267,9.538439763462728,9.175526271873021,,,0.6975459861243749,0.3024540138756251,,
NGC3782,DBAR,9.117287673512577,8.245196456990865,9.054681028290243,,,0.13424829647217973,0.8657517035278203,,
NGC3795A,DBAR,9.308545267182385,7.923336865034953,9.29027783042179,,,0.04118998159051946,0.9588100184094805,,
NGC3870,DBAR,9.195907393606904,8.590742849082371,9.071998595819556,,,0.24821924795660522,0.7517807520433948,,
NGC3887,DBARB,10.406893828895715,8.866500203653992,10.385166312567481,8.707585082903659,,0.028814187292133333,0.9512014062554882,0.019984406452378426,
NGC3906,DBAR,9.01350916517147,7.996469315156219,8.969604372096056,,,0.09615240467631564,0.9038475953236843,,
NGC3930,DBARB,9.600385989056292,8.005631683629812,9.57219186969339,8.173639013440017,,0.025424106235033675,0.9371430325237259,0.037432861241240414,
NGC3941,DBARBN,10.377287706248197,9.430231895449419,10.188333109765573,9.689819808518315,8.914564777181704,0.11296507349302581,0.6472102751091865,0.20536768249587406,0.03445696890191355
NGC3953,DBARB,10.827700685537545,9.65773843881484,10.755809121595984,9.756847943872407,,0.06761417499299001,0.8474389790473015,0.0849468459597086,
NGC3985,DBAR,9.215045465342875,8.257074774527517,9.164356723281426,,,0.11016136515139656,0.8898386348486034,,
NGC3992,DBARBN,11.045022323121833,9.91573468036569,10.968018304655079,9.94708234703307,8.970089371257444,0.07425271829671579,0.837521532620166,0.07981049858659871,0.008415250496519582
NGC4027,DBAR,10.511932457122253,9.321332319510073,10.482987268137236,,,0.06447626363419795,0.9355237363658021,,
NGC4034,DBARN,9.545355416839714,8.224210731958825,9.520699116265506,,7.41778440648946,0.04773702116355276,0.9448082991109296,,0.0074546797255177245
NGC4037,DBARN,9.603166769702913,8.435949229155003,9.560203047404569,,8.020620086783886,0.06804284428846352,0.9058082621622341,,0.026148893549302395
NGC4045,DBARB,10.01498988297192,9.317906931857973,9.756286011440729,9.409346447066339,,0.20087091085117945,0.5511833987647555,0.247945690384065,
NGC4067,DBARB,9.540404004732139,8.567942915807736,9.423391653974662,8.653141373886903,,0.10654643207992189,0.7638140614127429,0.12963950650733527,
NGC4116,DBAR,9.691415814504142,8.607729828788626,9.654034467864262,,,0.08247342191142808,0.9175265780885719,,
NGC4133,DBARB,9.689776638699023,8.93938973939344,9.519147344572998,8.85776224716603,,0.17766959022509665,0.6751040383601147,0.1472263714147887,
NGC4142,DBAR,9.269907946581121,7.843484757004236,9.253326381269007,,,0.03746077952619092,0.9625392204738091,,
NGC4145,DBAR,10.162680092063457,8.950111134407189,10.135208831871555,,,0.06129584583445215,0.9387041541655479,,
NGC4152,DBARN,10.237980662859002,9.074319482823695,10.19528133295569,,8.636576896263746,0.06860232268475275,0.9063598734291732,,0.025037803886073948
NGC4204,DBAR,9.359842296995067,8.466594374969741,9.300425954768844,,,0.12786511629753258,0.8721348837024675,,
NGC4245,DBARB,10.178545752151589,9.230022967767736,9.988051343112602,9.56325075670777,,0.1125841402347633,0.6449196222928553,0.2424962374723814,
NGC4262,DBARB,10.095975350817563,9.100068133416492,9.748250310145819,9.749210600849374,,0.10094685257246595,0.44902958833650936,0.45002355909102465,
NGC4267,DBARB,10.390514375895645,9.05564006041843,10.18701240747346,9.906200806999045,,0.04625148535116809,0.6258900270937616,0.3278584875550703,
NGC4273,DBARN,10.470192544797678,9.619696801499147,10.389945675590603,,8.911357935939554,0.14109260654655428,0.8312910998584235,,0.027616293595022223
NGC4276,DBAR,9.567659531999327,8.483838756364973,9.53029029912942,,,0.08244782899835551,0.9175521710016445,,
NGC4288,DBAR,9.162163679361418,8.215782271503796,9.110018438298916,,,0.1131406298575016,0.8868593701424984,,
NGC4293,DBARBN,10.346212178946228,9.620866731639225,10.193490923069735,9.341598922182198,8.315523778749933,0.18821513896342396,0.7035237190874734,0.09894338023732333,0.009317761711779397
NGC4314,DBARBN,10.526195997654709,9.885463519910891,10.248099922168684,9.890371939548933,8.636310111833957,0.22870071494095315,0.5271132394880943,0.23130016463556077,0.012885880935391687
NGC4369,DBAR,10.12399723587369,9.482084825803229,10.011569415325885,,,0.22808020252180983,0.7719197974781902,,
NGC4384,DBAR,9.91192055496263,8.87133008235541,9.87044756698911,,,0.09107716997429202,0.908922830025708,,
NGC4389,DBAR,9.75107799020676,8.803985457415083,9.699023386850449,,,0.11295552207705477,0.8870444779229453,,
NGC4390,DBARN,9.613644535302676,7.898570042528558,9.60336865921674,,7.227635039624333,0.019271943210000805,0.9766166494742436,,0.004111407315755647
NGC4394,DBARB,10.435424832084701,9.447630577450266,10.286913326331907,9.706739640527093,,0.10285034323331599,0.7103763497708728,0.1867733069958111,
NGC4405,DBARN,9.762638637804246,8.592317433500519,9.726962037507423,,7.815964611860917,0.06755831291260554,0.9211352447012663,,0.011306442386128176
NGC4411A,DBAR,9.149339178353575,7.6470219691148,9.135459205872621,,,0.031454500341876114,0.9685454996581239,,
NGC4412,DBARN,9.664436596506565,8.513463568213615,9.608124306636972,,8.371778461725121,0.07063614212300301,0.878390661797498,,0.050973196079499045
NGC4416,DBAR,9.484520698565355,8.095339711163218,9.466423110633027,,,0.04081492592149153,0.9591850740785084,,
NGC4424,DBAR,10.139237234344439,9.347065021472353,10.06280666871862,,,0.1613718534395771,0.8386281465604228,,
NGC4430,DBARN,9.968049241867696,8.678597727499636,9.942897211190656,,7.659890467346794,0.051350950368152945,0.9437304528026654,,0.004918596829181542
NGC4448,DBARB,10.352283971854206,9.471824996074693,10.259103228592547,9.140554342687208,,0.13168643001641536,0.8068991477036688,0.061414422279915816,
NGC4449,DBARN,9.22449196252353,8.169427014073994,9.180031342617633,,7.189068898675552,0.0880917122589687,0.9026915562355383,,0.009216731505492943
NGC4450,DBARBN,10.63603418274731,9.689340620754752,10.509990281411003,9.706252021803765,8.964374744550902,0.11305933795169087,0.7480938744506027,0.11754870231107693,0.02129808528662943
NGC4454,DBARBN,10.53995112739017,9.441136079755461,10.437815342729778,9.518626148909238,9.080410109641544,0.07964984818603865,0.7904314564341554,0.09520834622921927,0.03471034915058673
NGC4487,DBAR,10.091083371745079,8.668072929208407,10.074368443037153,,,0.03775631123756938,0.9622436887624306,,
NGC4491,DBARB,9.514513841952127,8.446317579617611,9.457884874848764,8.08014407813385,,0.08546803863650058,0.877750393626849,0.03678156773665045,
NGC4496A,DBAR,9.661840188604552,8.195533786046504,9.646739159484984,,,0.034173825496524736,0.9658261745034752,,
NGC4498,DBAR,9.584357286952821,8.341630644238249,9.558784302212864,,,0.05718384547897684,0.9428161545210232,,
